PMID,StartID,Relation,ReceptorID
32466572,PI3K,inhibit_relation,MAPK
32466572,PI3K,inhibit_relation,MAPK
32466572,PTCH1,inhibit_relation,SMO
32509576,CHK1,inhibit_relation,ATM
32509576,AURKA,inhibit_relation,WEE1
32509576,PARP,inhibit_relation,CHK1
32509576,SLFN11,inhibit_relation,CHK1
32509576,DLL3,inhibit_relation,PD-L1
32516941,EGFR,inhibit_relation,GSK3B
32516941,LSH,inhibit_relation,p53
32516941,GPX4,inhibit_relation,ROS
32516941,p53,inhibit_relation,xCT
32516941,DNA,inhibit_relation,RIPK3
32516941,NF-KB,inhibit_relation,LC3
32516941,ENPP1,inhibit_relation,SLC19A1
32516941,AMPK,inhibit_relation,MTS1
32516941,NRF2,inhibit_relation,PALB2
32516941,PALB2,inhibit_relation,NRF2
32542927,NgBR,inhibit_relation,AMPKa
32549388,ZEB1,inhibit_relation,MIR34A
32549388,MIR186,inhibit_relation,TWIST
32549388,SNAIL,inhibit_relation,MIR34A
32549388,MIR186,inhibit_relation,TWIST
32560574,LKB,inhibit_relation,NFKB
32560574,BAD,inhibit_relation,bcl-xL
32560574,IKK,inhibit_relation,LKB
32575899,PD-L1,inhibit_relation,CTLA-4
32581590,DKK1,inhibit_relation,WNT
32581590,SOX2,inhibit_relation,WNT
32659994,Tex,inhibit_relation,CTLA-4
32679702,PD-L1,inhibit_relation,PD-1
32679702,PD-1,inhibit_relation,PD-L1
32784481,MAM,inhibit_relation,CSL
32849585,ROS,inhibit_relation,ARG1
32917214,CD73,inhibit_relation,TIL
32917214,CD73,inhibit_relation,IDO1
32917214,IDO1,inhibit_relation,CD73
32917214,PD-L1,inhibit_relation,Tim-3
32963937,AKT,inhibit_relation,p21
32963937,AKT,inhibit_relation,p53
33007968,PD-1,inhibit_relation,PD-L1
33014852,P73,inhibit_relation,G6PD
33061844,NF1,inhibit_relation,HSF1
33061844,NF1,inhibit_relation,VEGF
33061844,GAP,inhibit_relation,MCL1
33061844,GAP,inhibit_relation,MCL1
33114576,AMPK,inhibit_relation,MTOR
33114576,TUSC2,inhibit_relation,EML4-ALK
33114576,TUSC2,inhibit_relation,PI3K
33114576,EGF,inhibit_relation,TKIS
33114576,GSK3B,inhibit_relation,AMPK
33114576,PTEN,inhibit_relation,PI3K
33121202,FGF2,inhibit_relation,MIR155
33121202,PDGF,inhibit_relation,MIR29B
33121202,MIR15A,inhibit_relation,VEGF
33262947,ERG,inhibit_relation,CLDN5
33324155,MDM2,inhibit_relation,TP53
33375194,ART,inhibit_relation,PD1
33375194,ART,inhibit_relation,PD1
33445709,EGLN1,inhibit_relation,CAN
33445709,CREB1,inhibit_relation,KDR
33562150,PTDSR,inhibit_relation,MERTK
33572782,AMPK,inhibit_relation,ATP
33572782,AMPK,inhibit_relation,MTOR
33572782,AMPK,inhibit_relation,SAM
33572782,DNMT1,inhibit_relation,STING
